2002,Detroit Metropolitan-Wayne County,281357
2002,Lambert-St Louis International,265157
2002,McCarran International,261191
2002,Denver Intl,240662
2003,William B Hartsfield-Atlanta Intl,737402
2003,Chicago O'Hare International,733432
2003,Dallas-Fort Worth International,665349
2003,Los Angeles International,448088
2003,George Bush Intercontinental,370343
2003,Phoenix Sky Harbor International,339794
2003,Newark Intl,300836
2003,Minneapolis-St Paul Intl,289667
2003,McCarran International,286350
2003,Denver Intl,283732
2004,William B Hartsfield-Atlanta Intl,835061
2004,Chicago O'Hare International,752376
2004,Dallas-Fort Worth International,688856
2004,Los Angeles International,465353
2004,Cincinnati Northern Kentucky Intl,415948
2004,George Bush Intercontinental,404126
2004,Phoenix Sky Harbor International,340445
2004,McCarran International,316334
2004,Newark Intl,316287
2004,Denver Intl,310407
2005,William B Hartsfield-Atlanta Intl,863478
2005,Chicago O'Hare International,675450
2005,Dallas-Fort Worth International,615489
2005,Los Angeles International,461844
2005,George Bush Intercontinental,424095
2005,Cincinnati Northern Kentucky Intl,417073
2005,Denver Intl,365766
2005,Phoenix Sky Harbor International,348986
2005,McCarran International,335091
2005,Salt Lake City Intl,321336
2006,William B Hartsfield-Atlanta Intl,812800
2006,Chicago O'Hare International,747535
2006,Dallas-Fort Worth International,602475
2006,Los Angeles International,467688
2006,Denver Intl,464841
2006,George Bush Intercontinental,448065
2006,Phoenix Sky Harbor International,430171
2006,McCarran International,369449
2006,Newark Intl,316547
2006,Salt Lake City Intl,284342
2007,William B Hartsfield-Atlanta Intl,827656
2007,Chicago O'Hare International,751500
2007,Dallas-Fort Worth International,594826
2007,Denver Intl,481686
2007,Los Angeles International,475273
2007,Phoenix Sky Harbor International,422170
2007,George Bush Intercontinental,400848
2007,McCarran International,367359
2007,Detroit Metropolitan-Wayne County,354949
2007,Minneapolis-St Paul Intl,311678
2008,William B Hartsfield-Atlanta Intl,829034
2008,Chicago O'Hare International,700832
2008,Dallas-Fort Worth International,562682
2008,Denver Intl,482913
2008,Los Angeles International,431293
2008,Phoenix Sky Harbor International,398824
2008,George Bush Intercontinental,370332
2008,McCarran International,345747
2008,Detroit Metropolitan-Wayne County,323989
2008,San Francisco International,281166
